timestamp,normalized_target_horizontal,normalized_target_vertical,distance_to_target
2021-04-05 03:44:24.451425,,,193.65652823992926
2021-04-05 03:44:24.467339,,,193.56535693507314
2021-04-05 03:44:24.482018,,,193.47917079226863
2021-04-05 03:44:24.494415,,,193.39811636463145
2021-04-05 03:44:24.518256,,,193.26957185614134
2021-04-05 03:44:24.544554,,,193.09798701015
2021-04-05 03:44:24.579985,,,192.8817620407627
2021-04-05 03:44:24.609142,,,192.70512339804378
2021-04-05 03:44:24.619921,,,192.66216594328483
2021-04-05 03:44:24.649333,,,192.46423565663954
2021-04-05 03:44:24.661862,,,192.39561441287978
2021-04-05 03:44:24.681789,,,192.2574884512596
2021-04-05 03:44:24.693022,,,192.20064546248528
2021-04-05 03:44:24.719416,,,192.028960643051
2021-04-05 03:44:24.731065,,,191.93926427939664
2021-04-05 03:44:24.758712,,,191.75850759104145
2021-04-05 03:44:24.789773,,,191.5628358686389
2021-04-05 03:44:24.822042,,,191.35849093715493
2021-04-05 03:44:24.832697,,,191.2654999522862
2021-04-05 03:44:24.863733,,,191.07148861073298
2021-04-05 03:44:24.894325,,,190.86203705938274
2021-04-05 03:44:24.904817,,,190.81444849923423
2021-04-05 03:44:24.931270,,,190.60241821012738
2021-04-05 03:44:24.962001,,,190.3952458472827
2021-04-05 03:44:24.973793,,,190.33271608478256
2021-04-05 03:44:24.998346,,,190.14408133013288
2021-04-05 03:44:25.009372,,,190.09492233344278
2021-04-05 03:44:25.037566,,,189.86887799388595
2021-04-05 03:44:25.049403,,,189.797798112076
2021-04-05 03:44:25.073009,,,189.61201183683627
2021-04-05 03:44:25.084357,,,189.54737264452487
2021-04-05 03:44:25.108874,,,189.35970121230952
2021-04-05 03:44:25.120478,,,189.30167882880156
2021-04-05 03:44:25.148200,,,189.08294868691442
2021-04-05 03:44:25.176857,,,188.8698078556268
2021-04-05 03:44:25.188290,,,188.7885287758409
2021-04-05 03:44:25.216418,,,188.58058385177048
2021-04-05 03:44:25.250911,-0.98125,-0.55,188.33361112936595
2021-04-05 03:44:25.285979,-0.95625,-0.5291666666666667,188.05429684349178
2021-04-05 03:44:25.316177,-0.93125,-0.5083333333333333,187.82577023088592
2021-04-05 03:44:25.352211,-0.9,-0.48333333333333334,187.54099672350307
2021-04-05 03:44:25.381661,-0.875,-0.4583333333333333,187.31488204740361
2021-04-05 03:44:25.421037,-0.84375,-0.42916666666666664,187.0228383331312
2021-04-05 03:44:25.433264,-0.84375,-0.42916666666666664,186.91134794334644
2021-04-05 03:44:25.456940,-0.81875,-0.4,186.727049141424
2021-04-05 03:44:25.469215,-0.81875,-0.4,186.606152681458
2021-04-05 03:44:25.492882,-0.79375,-0.36666666666666664,186.41164930341802
2021-04-05 03:44:25.551958,-0.771875,-0.3416666666666667,185.92836972358904
2021-04-05 03:44:25.570928,-0.753125,-0.3125,185.80452416699126
2021-04-05 03:44:25.589827,-0.734375,-0.2875,185.61397924772908
2021-04-05 03:44:25.628126,-0.715625,-0.2625,185.28951451271564
2021-04-05 03:44:25.669905,-0.696875,-0.2375,184.98058139643712
2021-04-05 03:44:25.703518,-0.678125,-0.22083333333333333,184.67936296459965
2021-04-05 03:44:25.737284,-0.659375,-0.20416666666666666,184.3946094878628
2021-04-05 03:44:25.770213,-0.64375,-0.19166666666666668,184.12660252074983
2021-04-05 03:44:25.792116,-0.621875,-0.17916666666666667,183.93401418918813
2021-04-05 03:44:25.804079,-0.621875,-0.17916666666666667,183.85866780443195
2021-04-05 03:44:25.831765,-0.6,-0.17083333333333334,183.6160046976918
2021-04-05 03:44:25.869681,-0.58125,-0.16666666666666666,183.29007308259474
2021-04-05 03:44:25.903222,-0.5625,-0.16666666666666666,183.0229681219644
2021-04-05 03:44:25.928886,-0.540625,-0.16666666666666666,182.78944399813028
2021-04-05 03:44:25.940711,-0.540625,-0.16666666666666666,182.6894115084312
2021-04-05 03:44:25.967061,-0.51875,-0.17083333333333334,182.48107675390656
2021-04-05 03:44:25.982782,-0.51875,-0.17083333333333334,182.3561101943792
2021-04-05 03:44:26.003841,-0.496875,-0.175,182.17285722027708
2021-04-05 03:44:26.040177,-0.475,-0.17916666666666667,181.87299593001597
2021-04-05 03:44:26.070306,-0.45625,-0.18333333333333332,181.61470396850518
2021-04-05 03:44:26.102420,-0.434375,-0.1875,181.35625508352408
2021-04-05 03:44:26.119354,-0.434375,-0.1875,181.21442908700374
2021-04-05 03:44:26.136813,-0.4125,-0.1875,181.05582554917515
2021-04-05 03:44:26.152805,-0.4125,-0.1875,180.93888527562137
2021-04-05 03:44:26.185052,-0.390625,-0.19166666666666668,180.64623008194656
2021-04-05 03:44:26.208340,-0.36875,-0.19166666666666668,180.46202037261494
2021-04-05 03:44:26.237758,-0.35,-0.1875,180.21886238984706
2021-04-05 03:44:26.276680,-0.328125,-0.18333333333333332,179.88278990466515
2021-04-05 03:44:26.319148,-0.309375,-0.17916666666666667,179.52899701612017
2021-04-05 03:44:26.341726,-0.290625,-0.17083333333333334,179.34329269467568
2021-04-05 03:44:26.386297,-0.271875,-0.1625,178.95415012127958
2021-04-05 03:44:26.420712,-0.253125,-0.15,178.6912621123566
2021-04-05 03:44:26.452499,-0.234375,-0.13333333333333333,178.4278971090625
2021-04-05 03:44:26.485992,-0.21875,-0.12083333333333333,178.10447155664184
2021-04-05 03:44:26.509752,-0.2,-0.10416666666666667,177.91702370584167
2021-04-05 03:44:26.540757,-0.1875,-0.09166666666666666,177.66982119659733
2021-04-05 03:44:26.553785,-0.184375,-0.09166666666666666,177.5419329109857
