timestamp,normalized_target_horizontal,normalized_target_vertical,distance_to_target
2021-05-04 17:08:32.835015,-0.66875,0.1875,
2021-05-04 17:08:32.981812,-0.740625,0.7875,
2021-05-04 17:08:33.105514,-0.775,0.8041666666666667,
2021-05-04 17:08:33.194187,-0.771875,0.8166666666666667,
2021-05-04 17:08:33.291650,-0.70625,0.85,
2021-05-04 17:08:33.424398,-0.75625,0.8625,
2021-05-04 17:08:33.510891,0.10625,-0.6416666666666667,
2021-05-04 17:08:33.630757,-0.428125,-0.15833333333333333,
2021-05-04 17:08:33.734449,,,
2021-05-04 17:08:33.811626,-0.496875,-0.20833333333333334,
2021-05-04 17:08:33.893121,,,
2021-05-04 17:08:33.965531,,,
2021-05-04 17:08:34.032443,,,
2021-05-04 17:08:34.104849,,,
2021-05-04 17:08:34.170736,,,
2021-05-04 17:08:34.239453,,,
2021-05-04 17:08:34.309497,,,
2021-05-04 17:08:34.379480,,,
2021-05-04 17:08:34.455445,,,
2021-05-04 17:08:34.520651,,,
2021-05-04 17:08:34.586628,,,
2021-05-04 17:08:34.658110,,,
2021-05-04 17:08:34.723689,,,
2021-05-04 17:08:34.786619,,,
2021-05-04 17:08:34.862574,,,
2021-05-04 17:08:34.927868,,,
2021-05-04 17:08:34.991861,,,
2021-05-04 17:08:35.064002,,,
2021-05-04 17:08:35.128915,,,
2021-05-04 17:08:35.194983,,,
2021-05-04 17:08:35.264336,,,
2021-05-04 17:08:35.329585,,,
2021-05-04 17:08:35.398445,,,
2021-05-04 17:08:35.459106,,,
2021-05-04 17:08:35.532354,,,
2021-05-04 17:08:35.609659,,,
2021-05-04 17:08:35.683849,,,
2021-05-04 17:08:35.754409,,,
2021-05-04 17:08:35.818361,,,
2021-05-04 17:08:35.886599,,,
2021-05-04 17:08:35.950092,,,
2021-05-04 17:08:36.019452,,,
2021-05-04 17:08:36.094376,,,
2021-05-04 17:08:36.173750,,,
2021-05-04 17:08:36.236965,,,
2021-05-04 17:08:36.302458,,,
2021-05-04 17:08:36.367336,,,
2021-05-04 17:08:36.433587,,,
2021-05-04 17:08:36.506320,,,
2021-05-04 17:08:36.581201,,,
2021-05-04 17:08:36.644111,,,
2021-05-04 17:08:36.709833,,,
2021-05-04 17:08:36.781050,,,
2021-05-04 17:08:36.858967,,,
2021-05-04 17:08:36.926740,,,
2021-05-04 17:08:36.996800,,,
2021-05-04 17:08:37.081965,,,
2021-05-04 17:08:37.142656,,,
2021-05-04 17:08:37.216715,,,
2021-05-04 17:08:37.292232,,,
2021-05-04 17:08:37.359801,,,
2021-05-04 17:08:37.430966,0.696875,0.020833333333333332,
2021-05-04 17:08:37.514796,,,
2021-05-04 17:08:37.588193,,,
2021-05-04 17:08:37.670186,,,
2021-05-04 17:08:37.743787,,,
2021-05-04 17:08:37.809292,,,
2021-05-04 17:08:37.886346,,,
2021-05-04 17:08:37.958733,,,
2021-05-04 17:08:38.032206,,,
2021-05-04 17:08:38.099212,,,
2021-05-04 17:08:38.161965,,,
2021-05-04 17:08:38.237494,,,
2021-05-04 17:08:38.303595,,,
2021-05-04 17:08:38.368557,,,
2021-05-04 17:08:38.435263,,,
2021-05-04 17:08:38.503848,,,
2021-05-04 17:08:38.570269,,,
2021-05-04 17:08:38.637346,,,
2021-05-04 17:08:38.711424,,,
2021-05-04 17:08:38.773621,,,
2021-05-04 17:08:38.837919,,,
2021-05-04 17:08:38.915632,,,
2021-05-04 17:08:38.982983,,,
2021-05-04 17:08:39.050679,,,
2021-05-04 17:08:39.112223,,,
2021-05-04 17:08:39.183553,,,
2021-05-04 17:08:39.249984,,,
2021-05-04 17:08:39.317710,,,
2021-05-04 17:08:39.387213,,,
2021-05-04 17:08:39.453089,,,
2021-05-04 17:08:39.521588,,,
2021-05-04 17:08:39.585111,,,
2021-05-04 17:08:39.655361,,,
2021-05-04 17:08:39.738598,,,
2021-05-04 17:08:39.808191,,,
2021-05-04 17:08:39.874998,,,
2021-05-04 17:08:39.942506,,,
2021-05-04 17:08:40.012082,,,
2021-05-04 17:08:40.083170,,,
2021-05-04 17:08:40.156634,,,
2021-05-04 17:08:40.229601,,,
2021-05-04 17:08:40.291112,,,
2021-05-04 17:08:40.361793,,,
2021-05-04 17:08:40.425036,,,
2021-05-04 17:08:40.490591,,,
2021-05-04 17:08:40.566323,,,
2021-05-04 17:08:40.635411,,,
2021-05-04 17:08:40.716963,,,
2021-05-04 17:08:40.780628,,,
2021-05-04 17:08:40.854797,,,
2021-05-04 17:08:40.929863,,,
2021-05-04 17:08:41.007112,,,
2021-05-04 17:08:41.080966,,,
2021-05-04 17:08:41.147363,,,
2021-05-04 17:08:41.220300,,,
2021-05-04 17:08:41.309592,0.271875,-0.9958333333333333,
2021-05-04 17:08:41.398499,,,
2021-05-04 17:08:41.477013,,,
2021-05-04 17:08:41.555348,,,
2021-05-04 17:08:41.621423,,,
2021-05-04 17:08:41.685690,,,
2021-05-04 17:08:41.765794,,,
2021-05-04 17:08:41.846055,,,
2021-05-04 17:08:41.920178,,,
2021-05-04 17:08:41.984163,,,
2021-05-04 17:08:42.050648,,,
2021-05-04 17:08:42.127471,,,
2021-05-04 17:08:42.193404,,,
2021-05-04 17:08:42.258966,,,
2021-05-04 17:08:42.333031,,,
2021-05-04 17:08:42.404212,,,
2021-05-04 17:08:42.465708,,,
2021-05-04 17:08:42.531641,,,
